City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,aykhal,66.0,111.5,15.35,47,36,5.98,RU,1722314391
281,nampula,-15.1165,39.2666,17.97,94,40,1.54,MZ,1722314392
282,beinamar,8.6698,15.3813,20.83,97,100,1.92,TD,1722314393
283,wilmington island,32.0036,-80.9737,24.99,88,75,0.0,US,1722314394
284,arraial do cabo,-22.9661,-42.0278,21.72,85,72,8.5,BR,1722314396
285,saipan,15.1355,145.701,32.39,70,0,5.14,MP,1722314397
286,fale old settlement,-9.3852,-171.2468,26.8,73,100,10.75,TK,1722314398
287,bago,17.3367,96.4797,27.91,79,100,2.64,MM,1722314399
288,borba,-4.3878,-59.5939,24.67,52,18,1.27,BR,1722314400
289,kruisfontein,-34.0033,24.7314,8.82,77,87,7.48,ZA,1722314402
290,murzuq,25.9155,13.9184,25.1,33,10,4.47,LY,1722314403
291,saint-philippe,-21.3585,55.7679,21.77,69,3,2.89,RE,1722314404
292,boju,7.3783,7.9112,21.76,96,98,2.44,NG,1722314405
293,kulu,39.0951,33.0799,21.88,36,0,3.9,TR,1722314407
294,paita,-5.0892,-81.1144,17.32,85,29,4.75,PE,1722314408
295,pyt-yakh,60.7499,72.8582,19.58,56,52,3.97,RU,1722314409
296,east london,-33.0153,27.9116,12.52,40,0,5.66,ZA,1722314410
297,ostersund,63.1792,14.6357,10.25,100,62,1.54,SE,1722314411
298,saint-joseph,-21.3667,55.6167,21.37,62,1,2.38,RE,1722314413
299,nenjiang,49.1833,125.2167,32.44,39,54,2.46,CN,1722314414
300,giyani,-23.3025,30.7187,12.06,81,0,0.84,ZA,1722314415
301,tsiombe,-25.3,45.4833,19.34,78,100,1.84,MG,1722314416
302,lamu,-2.2717,40.902,25.26,76,80,6.24,KE,1722314418
303,zaozersk,69.4005,32.4476,9.69,93,100,4.95,RU,1722314419
304,kutulik,53.3508,102.7839,25.35,54,100,3.28,RU,1722314420
305,shetpe,44.1667,52.1167,27.72,25,0,4.33,KZ,1722314421
306,yoko,5.5333,12.3167,17.95,99,100,1.57,CM,1722314423
307,pimentel,-6.8367,-79.9342,17.16,88,40,6.17,PE,1722314424
308,rabaul,-4.1967,152.1721,29.14,72,96,4.24,PG,1722314425
309,atafu village,-8.5421,-172.5159,27.49,73,97,11.1,TK,1722314426
310,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.0,GF,1722314428
311,flin flon,54.7682,-101.865,19.68,60,85,2.6,CA,1722314429
312,sao vicente,-23.9631,-46.3919,19.04,26,100,6.61,BR,1722314430
313,mandan,46.8267,-100.8896,18.99,85,40,0.45,US,1722314151
314,antsiranana,-12.2787,49.2917,22.42,68,20,3.09,MG,1722314432
315,yaring,6.8662,101.3689,30.16,60,83,1.3,TH,1722314433
316,mana,5.6592,-53.7767,24.47,89,53,4.18,GF,1722314435
317,chul'man,56.8479,124.9104,16.29,96,100,2.04,RU,1722314436
318,kavaratti,10.5669,72.642,28.3,82,100,8.94,IN,1722314437
319,malsch,48.8833,8.3333,17.06,90,28,0.72,DE,1722314438
320,vorgashor,67.5833,63.95,21.07,68,96,3.99,RU,1722314441
321,bojnurd,37.4747,57.329,20.97,68,20,3.09,IR,1722314442
